"year","venue_name","country_name","artist_name","song_name","runningOrder","placed","placedJury","placedTelevote","pointsJury","pointsTelevote","youtubeLink","appleMusicLink","spotifyLink"
2006,"Olympic Indoor Hall","Netherlands","Treble","Amambanda",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/QMK4h4sFFIM?si=-Ev5nHJtCucsXLIF","https://music.apple.com/gb/album/amambanda-single-edit/167011472?i=167011895","https://open.spotify.com/track/22Yx8cpfyfAaMeUR47rYeh?si=68b0f9ea34ac4caa"
2007,"Hartwall Arena","Netherlands","Edsilia Rombley","On Top of the World",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/k2IPKCOixtE?si=yZLC8fpV4oMH0uBC","https://music.apple.com/gb/album/on-top-of-the-world/1444331694?i=1444331699","https://open.spotify.com/track/0y2frDpPtKFcP8ZNbS1gmJ?si=90ba9c28d7464d5f"
2008,"Belgrade Arena","Netherlands","Hind","Your Heart Belongs to Me",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/IlUGHhQ3hOc?si=EchA8EarNZIbPSMI","https://music.apple.com/gb/album/your-heart-belongs-to-me/329987634?i=329988792",NULL
2009,"Olimpiysky Arena","Netherlands","The Toppers","Shine",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/6mR3W2fm7_E?si=iNS4Kz0jVnZmnzOj","https://music.apple.com/gb/album/shine/716142195?i=716142476","https://open.spotify.com/track/1YzeRa2GCiyGuXa1NhNYuX?si=9a27b4bdc506479c"
2010,"Telenor Arena","Netherlands","Sieneke","Ik ben verliefd (Sha-la-lie)",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/HdA2SsM3BLI?si=QHLFvsRs0TluwDNH","https://music.apple.com/gb/album/ik-ben-verliefd-sha-la-lie/400685550?i=400685580","https://open.spotify.com/track/4xufzAdw6ChXXzMWsVDz8X?si=77915862e6954a95"
2011,"Düsseldorf Arena","Netherlands","3JS","Never Alone",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/oJ6T43D82KY?si=M5F_fHP_qxSnioBS","https://music.apple.com/gb/album/never-alone/1545038239?i=1545038254","https://open.spotify.com/track/4VMKl6w9MCbe6uRW9RQ3QT?si=cd782a075bb34d2f"
2012,"Baku Crystal Hall","Netherlands","Joan Franka","You and Me",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/JCc0Iiu3DiU?si=bdzUmJ0JYdc8aE06","https://music.apple.com/gb/album/you-and-me-official-baku-version/527888847?i=527888904","https://open.spotify.com/track/6su3C6ckGFuLPq3j9XcVix?si=974b173f8f7f47ca"
2013,"Malmö Isstadion","Netherlands","Anouk","Birds",13,NULL,7,11,NULL,NULL,"https://youtu.be/n5iazXvMw5o?si=Ri0GlJNhLp5m5Zz3","https://music.apple.com/gb/album/birds/1443847369?i=1443847932","https://open.spotify.com/track/7mjNGQcLwp5cVKCPWskCr5?si=212dbe59add74190"
2014,"B&W Hallerne","Netherlands","The Common Linnets","Calm After the Storm",24,2,3,2,200,222,"https://youtu.be/4ggBPAm5XLA?si=6O4zwGSVUomGCr3I","https://music.apple.com/gb/album/calm-after-the-storm/1442451341?i=1442451352","https://open.spotify.com/track/3LHOMrvVg7g9IvBiUpkhNz?si=2eee87105e724b1e"
2015,"Wiener Stadthalle","Netherlands","Trijntje Oosterhuis","Walk Along",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/O_fs4SPGyF0?si=AsIo2bjZn9fc3JTF","https://music.apple.com/gb/album/walk-along/987402727?i=987402750","https://open.spotify.com/track/0z3UNXI7HBMpAX7p8xg2pu?si=dd38f57f3fff4369"
2016,"Globe Arena","Netherlands","Douwe Bob","Slow Down",3,11,11,17,114,39,"https://youtu.be/PwF9DI89q1w?si=szeXSGO31PF3Kn4m","https://music.apple.com/gb/album/slow-down/1442822880?i=1442822886","https://open.spotify.com/track/26bqkV4bV12BKHnuUIGLII?si=e48d03f882374802"
2017,"International Exhibition Centre","Netherlands","OG3NE","Lights and Shadows",6,11,5,19,135,15,"https://youtu.be/_9XsCqGg8ls?si=3KHZc2dJbNCExHZn","https://music.apple.com/gb/album/lights-and-shadows/1437551728?i=1437551737","https://open.spotify.com/track/5pTMXokyHE9OQyIDvi7ayz?si=5d91d2448c2f45be"
2018,"Lisbon Arena","Netherlands","Waylon","Outlaw in 'Em",23,18,13,19,89,32,"https://youtu.be/p7jHz5asMs8?si=TaVEli6WBHROxIST","https://music.apple.com/gb/album/outlaw-in-em/1355052378?i=1355052754","https://open.spotify.com/track/1Ryw2NPudgM1SRGZx91RbL?si=81aca6229ae445f8"
2019,"Expo Tel Aviv","Netherlands","Duncan Laurence","Arcade",12,1,3,2,237,261,"https://youtu.be/R3D-r4ogr7s?si=9K7FOCfmlDUCd_Fz","https://music.apple.com/gb/album/arcade/1455089965?i=1455090089","https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD?si=eaf9aac8be7f47c8"
2020,"Rotterdam Ahoy","Netherlands","Jeangu Macrooy","Grow",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/sMcxWB90TTY?si=Jg-0d8GVu25abGPe","https://music.apple.com/gb/album/grow/1499333178?i=1499333187","https://open.spotify.com/track/2VkQOOtMhEkd2KF2AAGVKD?si=1e5c3c8b18ed4753"
2021,"Rotterdam Ahoy","Netherlands","Jeangu Macrooy","Birth of a New Age",23,23,23,23,11,0,"https://youtu.be/o3Da5cr2fTs?si=JCMMrcQZAyIplT1e","https://music.apple.com/gb/album/birth-of-a-new-age/1554475894?i=1554476318","https://open.spotify.com/track/5GVMXVYBFyUeq1jz8IsGRq?si=94011fcab4b04b0d"
2022,"PalaOlimpico","Netherlands","S10","De diepte",11,11,8,14,129,42,"https://youtu.be/sgOnu7ux2-k?si=-U6bHNGvG3r7O8o7","https://music.apple.com/gb/album/de-diepte/1612026238?i=1612026523","https://open.spotify.com/track/7uQ7e7nzbtyX87eIYHpj6Z?si=46085d5d806c4988"
2023,"Liverpool Arena","Netherlands","Mia Nicolai and Dion Cooper","Burning Daylight",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/3XAsam043OY?si=x2NAer3bB8NVccPq","https://music.apple.com/gb/album/burning-daylight/1674753437?i=1674753496","https://open.spotify.com/track/5pjp1jN7hitQTuSlT2jOep?si=b031401933b24453"
2024,"Malmö Isstadion","Netherlands","Joost Klein","Europapa",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/gT2wY0DjYGo?si=7hXEUaUzvsuYxDr3","https://music.apple.com/gb/album/europapa/1732041797?i=1732041802","https://open.spotify.com/track/0uHrMbMv3c78398pIANDqR?si=1129718db4de4665"
